Space ID,Carshare Organization,Address Range,Street,Address,Approval Status,Operational Date,Intersection,CNN Segment ID,CNN Intersection ID,Pod Type,Zipcode,Neighborhood,Price Zone,Supervisor District,Geom
Z161,Zipcar, ,LEAVENWORTH ST,806 Leavenworth St,approved,06/23/2015,Leavenworth St & Sutter St,8245000,25164000,Double,94109,Lower Nob Hill,1,3,"(37.7882643743, -122.415085482)"
Z022,Zipcar,700-798,BOSWORTH ST,728 Bosworth St,approved,09/03/2015,Bosworth St & Brompton Ave,3028101,21808000,Single,94131,Glen Park,2,8,"(37.7338357152, -122.435238019)"
G235,Getaround, ,GREEN ST,1488 Green St,approved,07/31/2015,Green St & Van Ness Ave,6467000,26551000,Double,94109,Polk Gulch,1,3,"(37.797696007, -122.42354449)"
Z165,Zipcar,100-199,PAGE ST,174 Page St,approved,07/16/2015,Page St & Octavia Blvd,10170000,25909000,Double,94102,Lower Haight,1,5,"(37.773874423, -122.423880502)"
G065,Getaround,1000 - 1099,STEINER ST,704 Steiner Street,approved,07/31/2015,Steiner St & Hayes St,12125000,26041000,Double,94117,Alamo Square,1,5,"(37.775839043, -122.432956896)"
Z133,Zipcar,1920 - 1948,OCEAN AVE,1928 Ocean Ave,approved,01/06/2015,Ocean Ave & Keystone Way,9832201,52056000,Double,94127,Mt. Davidson Manor,3,7,"(37.725702847, -122.463120951)"
G080,Getaround,1300 - 1399,POST ST,1302 Post Street,approved,02/28/2015,Post St & Franklin St,10384000,25216000,Single,94109,Cathedral Hill,1,2,"(37.7864489267, -122.423370624)"
E004,Enterprise,2301 - 2499,03RD ST,2475 3rd St,approved,10/31/2011,3rd St & 22nd St,190201,23555000,Double,94107,Dogpatch,1,10,"(37.75836323, -122.388223453)"
G031,Getaround,100 - 149,NOE ST,"151 Noe Street
",approved,12/10/2014,Noe St & Henry St,9608000,25981000,Single,94114,Duboce Triangle,1,8,"(37.7668086499, -122.433269707)"
G211,Getaround, ,MINNESOTA ST,1066 Minnesota St,approved,07/31/2015,Minnesota St & 22nd St,9057000,23643000,Double,94107,Dogpatch,1,10,"(37.7576052212, -122.390269305)"
G146,Getaround,1700,FELL ST,1702 Fell Street,approved,07/31/2015,Fell St & Masonic Ave,5456000,26347000,Double,94117,Panhandle,2,5,"(37.7729248447, -122.446089243)"
Z178,Zipcar,500 - 599,FLORIDA ST,599 Florida St,approved,12/30/2014,Florida St & 18th St,5622000,24031000,Single,94110,Mission,1,9,"(37.7618704938, -122.411019077)"
Z002,Zipcar,400 - 499,34TH AVE,3300 Clement St,approved,06/03/2015,Clement St & 34th Ave,4184000,27859000,Double,94121,Outer Richmond,3,1,"(37.7816411235, -122.494653007)"
Z076,Zipcar,300 - 399,GENNESSEE ST,326 Gennessee St,approved,10/14/2014,Gennessee St & Monterey Blvd,6157000,22245000,Double,94112,Sunnyside,2,7,"(37.7313027695, -122.451087769)"
Z176,Zipcar,900-950,CAROLINA ST,901 Carolina St,approved,06/08/2015,Carolina St & 22nd St,3714201,23703000,Double,94107,Potrero Hill,1,10,"(37.7570842865, -122.399810107)"
Z101,Zipcar,1600 - 1649,LAGUNA ST,1610 Laguna St,approved,01/05/2015,Laguna St & Post St,7964000,26505000,Double,94115,Japantown,1,5,"(37.7860008, -122.428258687)"
Z010,Zipcar,1700 - 1799,38TH AVE,1779 38th Ave,approved,06/03/2015,38th Ave & Noriega St,1856000,27749000,Double,94122,Outer Sunset,3,4,"(37.7535978301, -122.496935921)"
Z196,Zipcar,400 - 449,NOE ST,415 Noe St,approved,01/29/2015,Noe St & 17th St,9613000,25803000,Double,94114,Castro,1,8,"(37.7624669938, -122.432852858)"
G040,Getaround,3500 - 3599,CABRILLO ST,"3551 Cabrillo Street
",approved,01/27/2015,Cabrillo St & 37th Ave,3503000,27863000,Single,94121,Outer Richmond,3,1,"(37.7737774892, -122.496985536)"
Z061,Zipcar,300 - 399,LINDEN ST,289 Linden St,approved,10/14/2014,Linden St & Gough St,8393001,25917000,Double,94102,Hayes Valley,1,5,"(37.7763105527, -122.423502484)"
Z012,Zipcar,2300 - 2399,40TH AVE,2393 40th Ave,approved,06/03/2015,40th Ave & Taraval St,1898000,23440000,Double,94116,Outer Sunset,3,4,"(37.7422706633, -122.498282077)"
Z192,Zipcar,100 - 199,DIAMOND ST,141 Diamond St,approved,12/28/2014,Diamond St & 18th St,4738000,25816000,Double,94114,Eureka Valley,1,8,"(37.75986318, -122.437074431)"
Z083,Zipcar,1400 - 1499,JONES ST,1411 Jones St,approved,01/05/2015,Jones St & Washington St,7582000,25119000,Double,94109,Nob Hill,1,3,"(37.79425027, -122.414771633)"
G001,Getaround,700 - 799,04TH AVE,"780 4th Avenue
",approved,03/14/2015,4th Ave & Fulton St,245000,27237000,Single,94118,Inner Richmond,2,1,"(37.7741097846, -122.461728551)"
G020,Getaround,1400 - 1499,23RD AVE,"1412 23rd Avenue
",approved,12/13/2014,23rd Ave & Judah St,1220000,27412000,Single,94122,Outer Sunset,3,4,"(37.7613164741, -122.481193705)"
Z019,Zipcar,4601 - 4699,03RD ST,4653 3rd St,approved,01/29/2015,3rd St & McKinnon Ave,210201,20213000,Double,94124,Bayview,3,10,"(37.7361099447, -122.390091108)"
G085,Getaround,500 - 599,SHRADER ST,"536 Shrader Street
",approved,12/31/2014,Shrader St & Haight St,11855000,26430000,Single,94117,Haight Ashbury,2,5,"(37.7695778563, -122.451976001)"
Z167,Zipcar,51 - 299,PORTOLA DR,195 Portola Dr,approved,04/14/2015,Portola Dr & Clipper St,10611201,22339000,Double,94131,Upper Market,2,8,"(37.7477259486, -122.443893009)"
G002,Getaround,200 - 299,07TH ST,"270 7th Street
",approved,01/19/2014,7th St & Folsom St,371000,24262000,Single,94103,South of Market,1,6,"(37.7770459478, -122.408419008)"
Z138,Zipcar,1 - 99,CARL ST,897 Cole St,approved,08/16/2015,Cole St & Carl St,4242000,26282000,Double,94117,Cole Valley,2,5,"(37.765956582, -122.450089555)"
G210,Getaround, ,MINNESOTA ST,1066 Minnesota St,approved,07/31/2015,Minnesota St & 22nd St,9057000,23643000,Double,94107,Dogpatch,1,10,"(37.75766375, -122.390274182)"
Z034,Zipcar,2700 - 2799,14TH AVE,2731 14th Ave,approved,01/06/2015,14th Ave & West Portal Ave,576000,22926000,Double,94127,West Portal,2,7,"(37.7381114048, -122.469292059)"
Z122,Zipcar,2700 - 2799,14TH AVE,2731 14th Ave,approved,01/06/2015,14th Ave & West Portal Ave,576000,22926000,Double,94127,West Portal,2,7,"(37.7381486534, -122.469335638)"
Z160,Zipcar, ,JONES ST,983 Jones St,approved,06/23/2015,Jones St & Pine St,7576000,25090000,Double,94109,Lower Nob Hill,1,3,"(37.7902483197, -122.413950933)"
Z186,Zipcar,2700 - 2799, MCALLISTER ST,"2798 McAllister
",approved,12/28/2014,McAllister St & Arguello Blvd,8912000,27204000,Single,94118,Lone Mountain,2,1,"(37.7753301258, -122.458106634)"
Z173,Zipcar,1400 - 1499,HAYES ST,1490 Hayes St,approved,01/12/2015,Hayes St & Baker St,6826000,26351000,Double,94117,Panhandle,1,5,"(37.7746639273, -122.440825311)"
Z103,Zipcar,600 - 699,GROVE ST,516 Ivy St,approved,01/05/2015,Ivy St & Laguna St,7352000,25935000,Double,94102,Hayes Valley,1,5,"(37.7769355177, -122.426570559)"
Z149,Zipcar,4148 - 4199,20TH ST,4184 20th St,approved,12/03/2014,20th St & Castro St,1066000,25756000,Double,94114,Eureka Valley,1,8,"(37.7577570632, -122.434336723)"
C059,City CarShare,1700 - 1799,WASHINGTON ST,1700 Washington St,approved,01/29/2015,Washington St & Polk St,13432000,25303000,Single,94109,Polk Gulch,1,3,"(37.7932969881, -122.421397755)"
G028,Getaround,1900 - 1999,PINE ST,"1932 Pine Street
",approved,11/01/2014,Pine St & Laguna St,10481000,26527000,Single,94109,Pacific Heights,1,5,"(37.7886531512, -122.42852468)"
Z097,Zipcar,700 - 799, FUNSTON AVE,795 Funston Ave,approved,12/03/2014,Funston Ave & Fulton St,5964000,27269000,Double,94118,Inner Richmond,2,1,"(37.7733657859, -122.471324112)"
Z191,Zipcar,100 - 149,ONONDAGA AVE,101 Onondaga Ave,approved,12/29/2014,Onondaga Ave & Cayuga Ave,9955000,22060000,Double,94112,Cayuga,3,11,"(37.7221940899, -122.439922577)"
Z107,Zipcar,300 - 399,LINDEN ST,289 Linden St,approved,10/14/2014,Linden St & Gough St,8393001,25917000,Double,94102,Hayes Valley,1,5,"(37.7763048091, -122.423542611)"
E003,Enterprise,50 - 99,SAN JOSE AVE,96 San Jose Ave,approved,01/08/2015,San Jose Ave & 23rd St,11427000,24110000,Double,94110,Dolores Heights,1,8,"(37.7539165575, -122.421584644)"
Z068,Zipcar,700 - 899,PENNSYLVANIA AVE,716 Pennsylvania St,approved,01/29/2015,Pennsylvania St & 22nd St,10336000,23625000,Double,94107,Potrero Hill,1,10,"(37.757250582, -122.393200536)"
Z054,Zipcar,800 - 899,MCALLISTER ST,1288 McAllister St,approved,06/23/2015,McAllister St & Steiner St,8900000,26046000,Double,94115,Western Addition,1,5,"(37.7785018037, -122.433182009)"
G035,Getaround,2900 - 2999,WEBSTER ST,2904 Webster Street,approved,02/14/2015,Webster St & Union St,13555000,26666000,Single,94123,Union Street,1,2,"(37.7975288304, -122.433825226)"
C033,City CarShare,400 - 449,NOE ST,415 Noe St,approved,01/29/2015,Noe St & 17th St,9613000,25803000,Double,94114,Castro,1,8,"(37.7625019873, -122.432854461)"
Z113,Zipcar,1300 - 1399,31ST AVE,1391 34th Ave,approved,11/17/2014,34th Ave & Judah St,1747000,27725000,Double,94122,Outer Sunset,3,4,"(37.7613626203, -122.493154802)"
